Anno;Continente (Italia esclusa);NIL (Nuclei di Identità Locale);Residenti stranieri
2000;Asia;Porta Ticinese - Conchetta (44);632
2000;Asia;Moncucco - San Cristoforo (45);267
2000;Asia;Barona (46);47
2000;Asia;Cantalupa (47);19
2000;Asia;Ronchetto sul Naviglio - Q.re Lodovico il Moro (48);151
2000;Asia;Giambellino (49);886
2000;Asia;Porta Genova (50);441
2000;Asia;Porta Magenta (51);738
2000;Asia;Bande Nere (52);1909
2000;Asia;Lorenteggio (53);266
2000;Asia;Muggiano (54);10
2000;Asia;Baggio - Q.re degli Olmi - Q.re Valsesia (55);457
2000;Asia;Forze Armate (56);422
2000;Asia;San Siro (57);951
2000;Asia;De Angeli - Monte Rosa (58);662
2000;Asia;Tre Torri (59);42
2000;Asia;Stadio - Ippodromi (60);335
2000;Asia;Quarto Cagnino (61);141
2000;Asia;Quinto Romano (62);40
2000;Asia;Figino (63);16
2000;Asia;Trenno (64);19
2000;Asia;Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65);233
2000;Asia;QT 8 (66);67
2000;Asia;Portello (67);221
2000;Asia;Pagano (68);622
2000;Asia;Sarpi (69);1941
