"Anno";"NIL (Nuclei di Identità Locale)";"Continente (Italia esclusa)";"Residenti stranieri"
"2000";"Brera (2)";"Europa (Italia esclusa)";913
"2000";"Brera (2)";"Asia";588
"2000";"Brera (2)";"Africa";259
"2000";"Brera (2)";"America";415
"2000";"Brera (2)";"Oceania";10
"2000";"Brera (2)";"Apolidi";1
"2000";"Giardini P.ta Venezia (3)";"Europa (Italia esclusa)";6
"2000";"Giardini P.ta Venezia (3)";"Asia";9
"2000";"Giardini P.ta Venezia (3)";"Africa";2
"2000";"Giardini P.ta Venezia (3)";"America";1
"2000";"Guastalla (4)";"Europa (Italia esclusa)";664
"2000";"Guastalla (4)";"Asia";690
"2000";"Guastalla (4)";"Africa";236
"2000";"Guastalla (4)";"America";343
"2000";"Guastalla (4)";"Oceania";2
"2000";"Guastalla (4)";"Apolidi";2
"2000";"Porta Vigentina - Porta Lodovica (5)";"Europa (Italia esclusa)";360
"2000";"Porta Vigentina - Porta Lodovica (5)";"Asia";393
"2000";"Porta Vigentina - Porta Lodovica (5)";"Africa";276
"2000";"Porta Vigentina - Porta Lodovica (5)";"America";219
"2000";"Porta Vigentina - Porta Lodovica (5)";"Oceania";6
"2000";"Porta Vigentina - Porta Lodovica (5)";"Apolidi";1
"2000";"Porta Ticinese - Conca del Naviglio (6)";"Europa (Italia esclusa)";549
"2000";"Porta Ticinese - Conca del Naviglio (6)";"Asia";893
"2000";"Porta Ticinese - Conca del Naviglio (6)";"Africa";531
"2000";"Porta Ticinese - Conca del Naviglio (6)";"America";361
"2000";"Porta Ticinese - Conca del Naviglio (6)";"Oceania";3
"2000";"Porta Ticinese - Conca del Naviglio (6)";"Apolidi";2
"2000";"Magenta - S.Vittore (7)";"Europa (Italia esclusa)";774
"2000";"Magenta - S.Vittore (7)";"Asia";593
"2000";"Magenta - S.Vittore (7)";"Africa";142
"2000";"Magenta - S.Vittore (7)";"America";308
"2000";"Magenta - S.Vittore (7)";"Oceania";6
"2000";"Porta Garibaldi - Porta Nuova (9)";"Europa (Italia esclusa)";175
"2000";"Porta Garibaldi - Porta Nuova (9)";"Asia";320
"2000";"Porta Garibaldi - Porta Nuova (9)";"Africa";140
"2000";"Porta Garibaldi - Porta Nuova (9)";"America";128
"2000";"Porta Garibaldi - Porta Nuova (9)";"Apolidi";1
"2000";"Stazione Centrale - Ponte Seveso (10)";"Europa (Italia esclusa)";732
"2000";"Stazione Centrale - Ponte Seveso (10)";"Asia";1200
"2000";"Stazione Centrale - Ponte Seveso (10)";"Africa";389
"2000";"Stazione Centrale - Ponte Seveso (10)";"America";444
"2000";"Stazione Centrale - Ponte Seveso (10)";"Oceania";6
"2000";"Stazione Centrale - Ponte Seveso (10)";"Apolidi";1
"2000";"Isola (11)";"Europa (Italia esclusa)";448
"2000";"Isola (11)";"Asia";1189
"2000";"Isola (11)";"Africa";819
"2000";"Isola (11)";"America";432
"2000";"Maciachini - Maggiolina (12)";"Europa (Italia esclusa)";621
"2000";"Maciachini - Maggiolina (12)";"Asia";952
"2000";"Maciachini - Maggiolina (12)";"Africa";306
"2000";"Maciachini - Maggiolina (12)";"America";456
"2000";"Maciachini - Maggiolina (12)";"Oceania";3
"2000";"Greco - Segnano (13)";"Europa (Italia esclusa)";217
"2000";"Greco - Segnano (13)";"Asia";493
"2000";"Greco - Segnano (13)";"Africa";256
"2000";"Greco - Segnano (13)";"America";252
"2000";"Greco - Segnano (13)";"Oceania";1
"2000";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Europa (Italia esclusa)";231
"2000";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Asia";301
"2000";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Africa";493
"2000";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"America";214
"2000";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";"Apolidi";1
"2000";"Bicocca (15)";"Europa (Italia esclusa)";62
"2000";"Bicocca (15)";"Asia";60
"2000";"Bicocca (15)";"Africa";151
"2000";"Bicocca (15)";"America";60
"2000";"Gorla - Precotto (16)";"Europa (Italia esclusa)";337
"2000";"Gorla - Precotto (16)";"Asia";775
"2000";"Gorla - Precotto (16)";"Africa";441
"2000";"Gorla - Precotto (16)";"America";357
"2000";"Gorla - Precotto (16)";"Oceania";2
"2000";"Adriano (17)";"Europa (Italia esclusa)";144
"2000";"Adriano (17)";"Asia";264
"2000";"Adriano (17)";"Africa";150
"2000";"Adriano (17)";"America";84
"2000";"Adriano (17)";"Oceania";1
"2000";"Cimiano - Rottole - Q.re Feltre (18)";"Europa (Italia esclusa)";286
