"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Germania";"Gorla - Precotto (16)";22
"Germania";"Adriano (17)";13
"Germania";"Cimiano - Rottole - Q.re Feltre (18)";14
"Germania";"Padova - Turro - Crescenzago (19)";26
"Germania";"Loreto - Casoretto - NoLo (20)";46
"Germania";"Buenos Aires - Porta Venezia - Porta Monforte (21)";160
"Germania";"Citta' studi (22)";59
"Germania";"Lambrate - Ortica (23)";7
"Germania";"Parco Forlanini - Cavriano (24)";2
"Germania";"Corsica (25)";28
"Germania";"XXII Marzo (26)";78
"Germania";"Pta Romana (27)";41
"Germania";"Umbria - Molise - Calvairate (28)";24
"Germania";"Ortomercato (29)";3
"Germania";"Taliedo - Morsenchio - Q.re Forlanini (30)";7
"Germania";"Rogoredo - Santa Giulia (33)";5
"Germania";"Lodi - Corvetto (35)";15
"Germania";"Scalo Romana (36)";10
"Germania";"Morivione (37)";7
"Germania";"Vigentino - Q.re Fatima (38)";14
"Germania";"Quintosole (39)";1
"Germania";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";2
"Germania";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";22
"Germania";"Tibaldi (43)";14
"Germania";"Porta Ticinese - Conchetta (44)";40
"Germania";"Moncucco - San Cristoforo (45)";14
"Germania";"Barona (46)";7
"Germania";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";10
"Germania";"Giambellino (49)";20
"Germania";"Porta Genova (50)";44
"Germania";"Porta Magenta (51)";63
"Germania";"Bande Nere (52)";38
