"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Tibaldi (43)";"2004";119
"Tibaldi (43)";"2005";109
"Tibaldi (43)";"2006";107
"Tibaldi (43)";"2007";123
"Tibaldi (43)";"2008";106
"Tibaldi (43)";"2009";100
"Tibaldi (43)";"2010";107
"Tibaldi (43)";"2011";99
"Tibaldi (43)";"2012";91
"Tibaldi (43)";"2013";97
"Tibaldi (43)";"2014";79
"Tibaldi (43)";"2015";95
"Tibaldi (43)";"2016";103
"Tibaldi (43)";"2017";95
"Tibaldi (43)";"2018";77
"Tibaldi (43)";"2019";97
"Tibaldi (43)";"2020";78
"Tibaldi (43)";"2021";102
"Tibaldi (43)";"2022";78
"Tibaldi (43)";"2023";87
"Porta Ticinese - Conchetta (44)";"2003";169
"Porta Ticinese - Conchetta (44)";"2004";166
"Porta Ticinese - Conchetta (44)";"2005";178
"Porta Ticinese - Conchetta (44)";"2006";146
"Porta Ticinese - Conchetta (44)";"2007";163
"Porta Ticinese - Conchetta (44)";"2008";147
"Porta Ticinese - Conchetta (44)";"2009";186
"Porta Ticinese - Conchetta (44)";"2010";188
"Porta Ticinese - Conchetta (44)";"2011";188
"Porta Ticinese - Conchetta (44)";"2012";192
"Porta Ticinese - Conchetta (44)";"2013";182
"Porta Ticinese - Conchetta (44)";"2014";191
"Porta Ticinese - Conchetta (44)";"2015";191
"Porta Ticinese - Conchetta (44)";"2016";187
"Porta Ticinese - Conchetta (44)";"2017";153
"Porta Ticinese - Conchetta (44)";"2018";182
"Porta Ticinese - Conchetta (44)";"2019";136
"Porta Ticinese - Conchetta (44)";"2020";137
"Porta Ticinese - Conchetta (44)";"2021";135
"Porta Ticinese - Conchetta (44)";"2022";140
"Porta Ticinese - Conchetta (44)";"2023";126
"Moncucco - San Cristoforo (45)";"2003";100
"Moncucco - San Cristoforo (45)";"2004";108
"Moncucco - San Cristoforo (45)";"2005";119
"Moncucco - San Cristoforo (45)";"2006";124
"Moncucco - San Cristoforo (45)";"2007";114
"Moncucco - San Cristoforo (45)";"2008";125
"Moncucco - San Cristoforo (45)";"2009";123
"Moncucco - San Cristoforo (45)";"2010";122
"Moncucco - San Cristoforo (45)";"2011";121
"Moncucco - San Cristoforo (45)";"2012";105
"Moncucco - San Cristoforo (45)";"2013";132
"Moncucco - San Cristoforo (45)";"2014";133
"Moncucco - San Cristoforo (45)";"2015";106
"Moncucco - San Cristoforo (45)";"2016";124
