tipo_via;civico;CODICE_VIA;CAP;MUNICIPIO;ID_NIL;NIL;LONG_WGS84;LAT_WGS84;Location
VIA GATTINARA;90;5427;20142;6;86;Parco dei Navigli;9.15033540615;45.4145402553;45.4145402553, 9.15033540615
VIA DE PRETIS AGOSTINO;66/26;5431;20142;6;86;Parco dei Navigli;9.15085672905;45.4277766345;45.4277766345, 9.15085672905
VIA ROZZANO;25;5444;20142;5;41;GRATOSOGLIO - TICINELLO;9.15769360186;45.4027500618;45.4027500618, 9.15769360186
VIA ROZZANO;30;5444;20142;5;41;GRATOSOGLIO - TICINELLO;9.15841980623;45.4027167186;45.4027167186, 9.15841980623
VIA ROZZANO;70;5444;20142;5;41;GRATOSOGLIO - TICINELLO;9.16646731878;45.404460776;45.404460776, 9.16646731878
VIA SORA;6;6301;20153;7;88;Parco Bosco in città;9.10145575838;45.4806573167;45.4806573167, 9.10145575838
VIA MARCHESI POMPEO;59;6304;20153;7;56;FORZE ARMATE;9.10309893963;45.4702829069;45.4702829069, 9.10309893963
VIA MARCHESI POMPEO;91;6304;20153;7;88;Parco Bosco in città;9.0999745838;45.4694413675;45.4694413675, 9.0999745838
VIA AIRAGHI GAETANO;100;6330;20153;7;88;Parco Bosco in città;9.07896983896;45.4766725791;45.4766725791, 9.07896983896
VIA AIRAGHI GAETANO;102;6330;20153;7;88;Parco Bosco in città;9.0789780792;45.4765810158;45.4765810158, 9.0789780792
VIA AIRAGHI GAETANO;104;6330;20153;7;88;Parco Bosco in città;9.0768271441;45.4786566489;45.4786566489, 9.0768271441
VIA AIRAGHI GAETANO;120/2;6330;20153;7;88;Parco Bosco in città;9.07614329171;45.4734238403;45.4734238403, 9.07614329171
VIA AIRAGHI GAETANO;120/6;6330;20153;7;88;Parco Bosco in città;9.07709961121;45.4742413749;45.4742413749, 9.07709961121
VIA AIRAGHI GAETANO;120/9;6330;20153;7;88;Parco Bosco in città;9.07608554441;45.4747433269;45.4747433269, 9.07608554441
VIA AIRAGHI GAETANO;123;6330;20153;7;88;Parco Bosco in città;9.07587070423;45.4713056592;45.4713056592, 9.07587070423
VIA AIRAGHI GAETANO;127;6330;20153;7;88;Parco Bosco in città;9.07863346031;45.4713555916;45.4713555916, 9.07863346031
VIA AIRAGHI GAETANO;129;6330;20153;7;88;Parco Bosco in città;9.07868498228;45.4712478592;45.4712478592, 9.07868498228
VIA ARPINO;40;6331;20153;7;62;QUINTO ROMANO;9.09194855445;45.4799259761;45.4799259761, 9.09194855445
VIA ARPINO;42;6331;20153;7;62;QUINTO ROMANO;9.09287816434;45.4807062406;45.4807062406, 9.09287816434
VIA CAIO MARIO;53;6480;20153;7;62;QUINTO ROMANO;9.08451411063;45.4801111767;45.4801111767, 9.08451411063
